[Munich Mod] Copying data files to cities/data/MUC...
[Munich Mod] Data files copied successfully.
[Munich Mod] Starting tile server on port 8082...
2026/08/27 11:39:10 main.go:165: Serving  /Users/lenny/subway-builder-maps/game-mods/Munich on port 8082 and interface 0.0.0.0 with Access-Control-Allow-Origin: *
2026/08/27 11:39:12 server.go:156: fetching MUC 0-16384
2026/08/27 11:39:12 server.go:200: fetched MUC 0-16384
2026/08/27 11:39:12 server.go:156: fetching MUC 127-46
2026/08/27 11:39:12 server.go:200: fetched MUC 127-46
2026/08/27 11:39:12 server.go:156: fetching MUC 3432-9045
2026/08/27 11:39:12 server.go:200: fetched MUC 3432-9045
2026/08/27 11:39:12 main.go:162: served 200 %2FMUC%2F0%2F0%2F0.mvt in 3.550542ms
2026/08/27 11:58:33 main.go:162: served 304 %2FMUC%2F10%2F544%2F356.mvt in 3.667084ms
2026/08/27 11:58:33 main.go:162: served 304 %2FMUC%2F10%2F545%2F354.mvt in 5.36575ms
2026/08/27 11:58:33 main.go:162: served 304 %2FMUC%2F10%2F543%2F355.mvt in 4.531167ms
2026/08/27 11:58:33 main.go:162: served 304 %2FMUC%2F10%2F544%2F355.mvt in 7.521375ms
2026/08/27 11:58:33 main.go:162: served 304 %2FMUC%2F10%2F545%2F355.mvt in 11.308917ms
2026/08/27 11:58:33 main.go:162: served 304 %2FMUC%2F10%2F546%2F356.mvt in 222.25µs
2026/08/27 11:58:33 main.go:162: served 304 %2FMUC%2F10%2F543%2F356.mvt in 5.161667ms
2026/08/27 11:58:33 main.go:162: served 304 %2FMUC%2F10%2F546%2F354.mvt in 4.572041ms
2026/08/27 11:58:33 main.go:162: served 304 %2FMUC%2F10%2F545%2F356.mvt in 5.236042ms
2026/08/27 11:58:33 main.go:162: served 304 %2FMUC%2F10%2F544%2F354.mvt in 14.185125ms
2026/08/27 11:58:33 main.go:162: served 304 %2FMUC%2F10%2F546%2F355.mvt in 4.5355ms
2026/08/27 11:58:33 main.go:162: served 304 %2FMUC%2F10%2F543%2F354.mvt in 5.506125ms
