[Ruhrgebiet Mod] Copying data files to cities/data/RHR...
[Ruhrgebiet Mod] Data files copied successfully.
[Ruhrgebiet Mod] Starting tile server on port 8094...
2026/08/27 17:18:12 main.go:165: Serving  /Users/lenny/subway-builder-maps/game-mods/Ruhrgebiet on port 8094 and interface 0.0.0.0 with Access-Control-Allow-Origin: *
2026/08/27 17:18:14 server.go:156: fetching RHR 0-16384
2026/08/27 17:18:14 server.go:200: fetched RHR 0-16384
2026/08/27 17:18:14 server.go:156: fetching RHR 127-62
2026/08/27 17:18:14 server.go:200: fetched RHR 127-62
2026/08/27 17:18:14 server.go:156: fetching RHR 4034-9888
2026/08/27 17:18:14 server.go:200: fetched RHR 4034-9888
2026/08/27 17:18:14 main.go:162: served 200 %2FRHR%2F0%2F0%2F0.mvt in 1.346708ms
2026/08/27 19:14:18 main.go:162: served 304 %2FRHR%2F10%2F532%2F340.mvt in 12.781917ms
2026/08/27 19:14:18 main.go:162: served 200 %2FRHR%2F10%2F533%2F340.mvt in 14.808084ms
2026/08/27 19:14:18 main.go:162: served 200 %2FRHR%2F10%2F532%2F339.mvt in 15.025667ms
2026/08/27 19:14:18 main.go:162: served 304 %2FRHR%2F10%2F531%2F340.mvt in 16.219667ms
2026/08/27 19:14:18 main.go:162: served 304 %2FRHR%2F10%2F532%2F341.mvt in 24.381958ms
2026/08/27 19:14:18 main.go:162: served 304 %2FRHR%2F10%2F531%2F341.mvt in 24.686792ms
2026/08/27 19:14:18 main.go:162: served 200 %2FRHR%2F10%2F531%2F339.mvt in 372.208µs
2026/08/27 19:14:18 main.go:162: served 304 %2FRHR%2F10%2F530%2F340.mvt in 4.591125ms
2026/08/27 19:14:18 main.go:162: served 200 %2FRHR%2F10%2F530%2F339.mvt in 4.139834ms
2026/08/27 19:14:18 main.go:162: served 200 %2FRHR%2F10%2F533%2F341.mvt in 4.83125ms
2026/08/27 19:14:18 main.go:162: served 304 %2FRHR%2F10%2F530%2F341.mvt in 4.669375ms
2026/08/27 19:14:18 main.go:162: served 200 %2FRHR%2F10%2F533%2F339.mvt in 4.428167ms
2026/08/27 19:14:25 main.go:162: served 304 %2FRHR%2F10%2F530%2F342.mvt in 1.480458ms
2026/08/27 19:14:25 main.go:162: served 304 %2FRHR%2F10%2F531%2F342.mvt in 1.481167ms
2026/08/27 19:14:25 main.go:162: served 200 %2FRHR%2F10%2F533%2F342.mvt in 1.696292ms
2026/08/27 19:14:25 main.go:162: served 304 %2FRHR%2F10%2F532%2F342.mvt in 1.763083ms
2026/08/27 19:14:25 main.go:162: served 204 %2FRHR%2F10%2F529%2F342.mvt in 40.5µs
