[Ruhrgebiet Mod] Copying data files to cities/data/RHR...
[Ruhrgebiet Mod] Data files copied successfully.
[Ruhrgebiet Mod] Starting tile server on port 8080...
2026/08/29 21:49:22 main.go:165: Serving  /Users/lenny/subway-builder-maps/game-mods/Ruhrgebiet on port 8080 and interface 0.0.0.0 with Access-Control-Allow-Origin: *
2026/08/29 21:56:48 server.go:156: fetching RHR 0-16384
2026/08/29 21:56:48 server.go:200: fetched RHR 0-16384
2026/08/29 21:56:48 server.go:156: fetching RHR 127-62
2026/08/29 21:56:48 server.go:200: fetched RHR 127-62
2026/08/29 21:56:48 server.go:156: fetching RHR 4034-9888
2026/08/29 21:56:48 server.go:200: fetched RHR 4034-9888
2026/08/29 21:56:48 main.go:162: served 200 %2FRHR%2F10%2F532%2F340.mvt in 4.557542ms
2026/08/29 21:56:48 main.go:162: served 200 %2FRHR%2F10%2F533%2F340.mvt in 4.585625ms
2026/08/29 21:56:48 main.go:162: served 200 %2FRHR%2F10%2F532%2F339.mvt in 4.8655ms
2026/08/29 21:56:48 main.go:162: served 200 %2FRHR%2F10%2F533%2F339.mvt in 4.795791ms
2026/08/29 21:56:48 main.go:162: served 200 %2FRHR%2F10%2F531%2F340.mvt in 4.581125ms
2026/08/29 21:56:48 main.go:162: served 200 %2FRHR%2F10%2F531%2F339.mvt in 4.750666ms
2026/08/29 21:56:48 main.go:162: served 200 %2FRHR%2F10%2F532%2F341.mvt in 2.128584ms
2026/08/29 21:56:48 main.go:162: served 200 %2FRHR%2F10%2F531%2F341.mvt in 1.118417ms
2026/08/29 21:56:48 main.go:162: served 200 %2FRHR%2F10%2F533%2F341.mvt in 1.35325ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F11%2F1064%2F681.mvt in 4.897292ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F11%2F1064%2F680.mvt in 4.439583ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F11%2F1065%2F680.mvt in 4.41325ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F11%2F1065%2F682.mvt in 3.497959ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F11%2F1065%2F681.mvt in 5.015792ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F11%2F1064%2F682.mvt in 4.202875ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F11%2F1063%2F681.mvt in 715.75µs
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F11%2F1063%2F680.mvt in 900.375µs
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F11%2F1066%2F680.mvt in 944.459µs
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F11%2F1066%2F681.mvt in 1.18175ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F11%2F1063%2F682.mvt in 454.167µs
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F11%2F1066%2F682.mvt in 364.209µs
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F12%2F2129%2F1362.mvt in 1.228541ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F12%2F2130%2F1362.mvt in 957.541µs
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F12%2F2129%2F1361.mvt in 1.421708ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F12%2F2130%2F1361.mvt in 2.144958ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F12%2F2128%2F1362.mvt in 996.042µs
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F12%2F2128%2F1361.mvt in 1.088084ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F12%2F2131%2F1362.mvt in 1.877ms
2026/08/29 21:56:58 main.go:162: served 200 %2FRHR%2F12%2F2131%2F1361.mvt in 1.594959ms
